"user","viz","accuracy","difficulty"
"WW9zqyfyPHjFS6fPR","series",0.75,"medium"
"We3Btupw8RnuCSnYC","series",1,"medium"
"YDbqWAi595CRKxbjf","series",0.75,"medium"
"YJzWPZRYPHG3rRrBw","series",1,"medium"
"YSX6542MwRYTZdDFW","series",0.75,"medium"
"Z3aTLPbG8wvPy6TzA","series",1,"medium"
"ZHNtTdcsi2rTaqr3H","series",1,"medium"
"ZinxDRBpTmbfPbyh3","series",1,"medium"
"anADbMMrWqwy5fpXL","series",0.5,"medium"
"dLfWKPg4vzZENza7s","series",1,"medium"
"dtQA2mR79kEjZbCtx","series",0,"medium"
"eJLcPS8n3aLYMZetQ","series",1,"medium"
"eWYf558HzqZYTLXjd","series",0.75,"medium"
"eneKDk3QDTpghzkg5","series",0.5,"medium"
"fJ9m7KSykZNBKraP9","series",0.75,"medium"
"fnybrL5hbku3RuxsW","series",0.75,"medium"
"fqMr9DzgADfvbhEFP","series",1,"medium"
"g8752kBeS4S7Q2bFZ","series",1,"medium"
"gjHnYbyFFisfigApY","series",1,"medium"
"hgYDJshRwxs7egfvX","series",0,"medium"
"iACT8Wc9PosXt7xH6","series",0.75,"medium"
"jT3SAdPp5gfHr4k4n","series",1,"medium"
"jbuSnNTzpPv7iQPGq","series",1,"medium"
"kJCFGZGPqBPM5NiEu","series",1,"medium"
"kuA7hMBw2iFfwZ9fw","series",1,"medium"
"mh9p2kSQWvM8uAEK7","series",1,"medium"
"nAPiCihqksXL2XbTM","series",1,"medium"
"nPCqhcMdGm39zbLEe","series",1,"medium"
"nnqqJDqAKBySbdvdE","series",0.75,"medium"
"obXkTyEzXzSrubofE","series",1,"medium"
"qNMBxhDWJv2wbJPzh","series",1,"medium"
"qZwnWqNYBMnLCHzz2","series",1,"medium"
"qjzv49dPMBpv5LSyA","series",1,"medium"
"rP3cpBASPsit6sCMQ","series",1,"medium"
"sndaJBRShTy4bzbPq","series",0.75,"medium"
"stmcDKF2QPkaxzcxZ","series",1,"medium"
"uTbjZ8i4j5enGeHvQ","series",0.25,"medium"
"uf8PMATFx4hCcscLz","series",1,"medium"
"vF6k2cJjTXN2jH9Jj","series",1,"medium"
"vSzr7miAEFuvzip2b","series",1,"medium"
"vTe2CEZbj9q8wkhYc","series",0.75,"medium"
"vhAsiBXaDHghxPSTn","series",1,"medium"
"wHpjq3hzhkJu5kNHm","series",1,"medium"
"wRfXsATRbv699hZeG","series",1,"medium"
"wpHaTDLSHxwWcei3T","series",0.75,"medium"
"wsybRyehJdJyxLfCS","series",0.25,"medium"
"wtNK7f3ZzgkWHgCEN","series",1,"medium"
"wyjoPhnY2LzWWZAAh","series",1,"medium"
"xrzoyr6xvKMK57tSi","series",0.75,"medium"
"yMWvDqhxa73veYGvv","series",0.75,"medium"
"44Q3cDweeZi2KdNrQ","dots",1,"medium"
"49wAhBNrW23jx3XXn","dots",0.25,"medium"
"4k5RPShwnGPRsGyT5","dots",1,"medium"
"4yFSjAcLo8Xpb5NBr","dots",0.5,"medium"
"565FWNPmM73esEnv7","dots",1,"medium"
"5L4DdJBz8gq2Fug2c","dots",1,"medium"
"6bJLH7KTRKX24rdzY","dots",1,"medium"
"6hgn73CdCNRrsor7j","dots",1,"medium"
"6saGvz5mG5TgySvef","dots",1,"medium"
"6uWMQQ6rvPijqaHNb","dots",1,"medium"
"6w7CZYGQNDrpj7Dfp","dots",0.25,"medium"
"7mkiJ4PwnZGd2X5r3","dots",1,"medium"
"7sxqmnM8jPLCjgvur","dots",0.5,"medium"
"BGRvy45SSZdLGcDG9","dots",0.75,"medium"
"BRKEpiDsoBxXrNKWE","dots",0.75,"medium"
"ChMyMnHcj3MDEjgQT","dots",1,"medium"
"DAF22qWpCZ47gHCzY","dots",0,"medium"
"DejXtMhqHs5NKZnzH","dots",0.75,"medium"
"G6dBvgqckNkQ6g2gB","dots",0.75,"medium"
"GEZt6ZhsCGbMQtuXb","dots",1,"medium"
"GJs3xFDrbmEwXYAkh","dots",0.75,"medium"
"GM4BbQSYSjxzjrERS","dots",0.25,"medium"
"JTxorRPnKEGqjSq4K","dots",0.75,"medium"
"Je8XpG9m9hC9hToY4","dots",0.75,"medium"
"JkH5ARHNWebYz6nGM","dots",0.75,"medium"
"JodzAGSWFtbvdeSqk","dots",0,"medium"
"KT37QyJpjP4JnFivG","dots",0.75,"medium"
"LHMtg4o7REozFZQst","dots",0.75,"medium"
"LzuRw7CoatTcNqkTa","dots",0.75,"medium"
"NQCMNnTz4xWZApaQB","dots",0,"medium"
"NWX67F5zDpwL4WnxW","dots",1,"medium"
"PwEBrnoa3rZjouL34","dots",0.75,"medium"
"QYunZ6tMA7J26vjAd","dots",0.5,"medium"
