"user","viz","speed","difficulty"
"PpXojivkwpZLtvhh7","chart",52.05525,"medium"
"QzCkGfR5Sqv6EkKD5","chart",35.62,"medium"
"R2xdmvvBWBFZjLLLj","chart",57.3955,"medium"
"R3xdYFqaJp4J3wGF7","chart",28.2095,"medium"
"RHxAXBeu3bNHSrwrH","chart",82.48875,"medium"
"SQGukoGkEKRKRwcDQ","chart",35.66,"medium"
"SRXvtxnkZ3oFdqzLQ","chart",37.1235,"medium"
"SbBJYTDgm6FCG7xGG","chart",19.8985,"medium"
"Snxk6v7KGNcD3omw3","chart",40.23125,"medium"
"SyhdSuB4y9NgPMA6H","chart",40.81925,"medium"
"W9KmHzPDL9zgejZBv","chart",68.3585,"medium"
"WT6eAuzxb2q9D2dKy","chart",37.967,"medium"
"Y8MQD9crBw3XCtvHa","chart",50.3465,"medium"
"Y8eiaT7fnGm8vH2s9","chart",39.13375,"medium"
"YL7udNgoFoKPu5hF5","chart",42.98275,"medium"
"Yr5Zvv6H9SZSqizrr","chart",35.142,"medium"
"ZBLBSAhYkJ4YhKXHy","chart",54.71825,"medium"
"ZLTTgMCadn3BcvAuZ","chart",47.30725,"medium"
"Zozdc9QR8pqdDuEwD","chart",48.3255,"medium"
"ZvNs6QCxpMBYhpfAo","chart",60.5705,"medium"
"aKpbREh99H6n95KiC","chart",42.78825,"medium"
"bByT7Rh9roCmbqaGC","chart",32.00675,"medium"
"bsEpkh7YojCJLghEd","chart",57.01575,"medium"
"cgYyY4fTJXA56ctZL","chart",38.979,"medium"
"cr57saSB3apE9rfTz","chart",45.2375,"medium"
"d4WEZyZkMm48TdGgs","chart",69.51175,"medium"
"dYCJXPSnQ9T3YobK4","chart",40.25175,"medium"
"dZ8KiZZ2E3tazJAkN","chart",102.2625,"medium"
"deejY9yj8hNefPrXY","chart",74.87175,"medium"
"dmd8zDgoEDghk799k","chart",111.424,"medium"
"g5GEZn5hfoCkLqBLv","chart",19.78975,"medium"
"gfs5G7LwXHLy9S5MP","chart",47.2755,"medium"
"ghaAPFo6Xv3B9BZLK","chart",39.9245,"medium"
"hPNTYGwERATDGDmLd","chart",31.285,"medium"
"iQNwNrzPorJeZRigg","chart",44.8345,"medium"
"iZc3BMSXq68FKL3J8","chart",53.172,"medium"
"jW8hRMBPdt2SJEhZK","chart",38.531,"medium"
"k3iaj4mXTYFhTQGFJ","chart",16.70075,"medium"
"kE4E4E2Zi474xtpKz","chart",104.551,"medium"
"mTp5RGkhAozn3pQki","chart",80.41075,"medium"
"nisosFZ4dTEcXEdk3","chart",39.5785,"medium"
"oS6C28ZBbcjF9ig5X","chart",27.16225,"medium"
"op7kCpeMH7kgetiMX","chart",54.267,"medium"
"pBWdGHFmTu4Qw4snK","chart",33.07125,"medium"
"pBZkpnAEoktK8YKwE","chart",26.84425,"medium"
"qJgXxS5NHQc7JKZkA","chart",14.14725,"medium"
"qtXFYALWvHiRafMvt","chart",29.22775,"medium"
"rd8ivR2ve6AZXcqWp","chart",33.4895,"medium"
"rpWb9YHJxpBKBy7pb","chart",57.70325,"medium"
"sF9AdTFX7AJhypvCG","chart",70.3295,"medium"
"t44ry6X7EnsvdqB6P","chart",75.664,"medium"
"tPBRJZguAyGyNN4H8","chart",52.16775,"medium"
"tk8k2evrrS3s6Yw36","chart",20.53275,"medium"
"vAm5piEWXfCXNsY7B","chart",65.384,"medium"
"vF4rwKEvi8otv5Pmx","chart",58.95825,"medium"
"vKEtys3s8MppqDY9s","chart",44.71725,"medium"
"w9xJDy63X4ixWuFvo","chart",52.378,"medium"
"wHETwTGT8FX5gYBH3","chart",31.62475,"medium"
"xHrZaMN5Gg4n9xQsT","chart",62.01275,"medium"
"xsLJWtHndc8s8WCce","chart",42.54425,"medium"
"zncMWhGYQGmJSzXqa","chart",55.605,"medium"
"2Q34zAD2zTXRBaKu8","series",67.70075,"medium"
"2pWSXLKqvCx7eLRHz","series",27.50575,"medium"
"44MoHdTtHYg8Qim7C","series",34.985,"medium"
"5jp6HzWG9rMCBuRir","series",60.92875,"medium"
"67e6Jh7hWzotbX4Er","series",88.68625,"medium"
"6YiN7fLiZ8SDvsbLQ","series",52.32625,"medium"
"6zyqucmdag4Xa4iSN","series",38.8275,"medium"
